70123	[title16][sentence]\nThe boat is 'docked' at the maintenance\nplatform.	
70124	[title29][sentence]\nThe fishing line has become hopelessly\ntangled.  It looks like you aren't going to\nbe doing any fishing with this thing.	
70125	[title22][sentence]\nYou don't need to pull on the fishing\nline.  The boat is already here.	
70126	[title19][sentence]\nYou reel in the fishing line and\nstuff it in your pocket.	
70127	[title29][sentence]\nAs much as you would like to simply reach out and\njust grab the boat, your arms simply aren't long enough.\nLooking down, you see something large moving\nin the water below and decide that trying to\nswim to it could be a fatal mistake.	
70128	[title33][sentence]\nYour little maneuver with the time bomb\nhas moistened the city a tad.  Only a single\nbuilding protrudes above the water\nin the distance.  The boat you lowered is now\nfloating within reach of the platform.	
10501	[title25][sentence]\nThe [noun1] is uninteresting.	
10502	[title27][sentence]\nIt's a cliff.  It's in the sea.  O.K.?	
10503	[title27][sentence]\nIt's pretty.	
10504	[title26][sentence]\nYou can't help but wonder what kind of sick\nsociety would pollute its own oceans.  You are also\nsurprised to see such a thing this far from\nNew Jersey.	
10505	[title11][sentence]\nYech!  Better not.	
10506	[title25][sentence]\nIt appears to be a naval proximity mine.  You'd\nbetter not get too close.	
10507	[title25][sentence]\nA fool and his torso are soon parted.	
10508	[title24][sentence]\nIt reminds you of your last blind date.	
10509	[title20][sentence]\nThe wicked witch hasn't melted--she's\nstill up there.	
10510	[title25][sentence]\nThere is a large open area to the south--probably\nworth exploring.	
10511	[title14][sentence]\nThey are uninteresting.	
10512	[title26][sentence]\nYou are still underwater.  To your west you see\na strange plant.  There is a large open area to the south.\n	
10901	[title10][sentence]\nIt's mostly sand.	
10902	[title21][sentence]\nYou have no interest in the coral. 	
10903	[title27][sentence]\nYou really don't need it unless you're planning \non making some cheap jewelry.	
10904	[title25][sentence]\nYour heart pounds profusely over your\nfascination with . . . rocks?	
10905	[title25][sentence]\nYou do not need any rocks.	
10906	[title16][sentence]\nIt's not very interesting.	
10907	[title29][sentence]\nNow that just might be a way out of here.\nOf course there is the little matter of that\nweird hungry purple thing.	
10908	[title30][sentence]\nThat funny purple thing came out of one of\nthese holes.	
10910	[title25][sentence]\nYou probably don't want to get\ntoo close to that thing.	
10911	[title25][sentence]\nNot much has changed since you last visited\nthe area.	
10912	[title29][sentence]\nYou are at the southeastern edge of the lagoon.\nThere is a cave here that could be a safe\nexit from the water.	
10913	[title26][sentence]\nNow that just might be a way out of here.\nThere is a dead creature lying next to it.\n	
10914	[title24][sentence]\nHe looks dead.  That burger must have been\nextremely toxic to make him ooze like that.	
10915	[title32][sentence]\nHe doesn't seem to interested in the burger.  Then\nagain, would you eat it?	
30710	[title27][sentence]\nThe air vent is just large enough for you to crawl through,\nbut it's being held closed by a small latch.	
30711	[title16][sentence]\nThat little scalpel did the trick.  The latch has\nbeen jimmied and the air vent is unlocked.	
30712	[title19][sentence]\nIt's a good thing you aren't too tired, because\nthe 'bed' looks extremely uncomfortable.	
