61123	[title22][sentence]\nThe large vertical support prevents the\noverhead structure from falling on you.\n	
50210	[title26][sentence]\nSince this teleporter is built into\nthe wall, you see little through the\nviewport.	
50211	[title25][sentence]\nThe keypad has twelve keys on it.\nThe numerals zero through nine are\npresent, as well as 'smile' and 'frown'\nkeys.	
50212	[title27][sentence]\nThis is entry device is about\nas complicated as a pocket\ncalculator.  Take your time;\nyou'll get it eventually.	
50213	[title25][sentence]\nIt's a key.  Hint: It's about the same\nsize as the tip of a human finger.	
50214	[title17][sentence]\nYou are standing inside an\nalien teleportation device.\n	
50710	[title27][sentence]\nThis must signify the 'blue light special'\nthe store was running on selected software.	
50711	[title29][sentence]\nYou have always wanted one of these\nfor your bedroom.  You had better\nfind yourself a new bedroom first.	
50712	[title26][sentence]\nYou are surprised to see that "Polyester\nSuit Peter," is still around.  You dream\nof starring in your own action-packed\ngraphic adventure some day.	
50713	[title29][sentence]\nThe old software runs on a computer\nplatform that hasn't been available in decades.\nYou had better visit a store that has updated\nits inventory this century.	
50714	[title26][sentence]\nThe back wall of the store is littered with\nlittle flyers and posters.	
50715	[title30][sentence]\nIt's an advertisement for a game called:\n"Nasty Nick takes on the Bronx."  It\nlooks like an arcade shoot-em-up.	
50716	[title26][sentence]\nIn large purple letters the sign announces\nthe name of the software store.	
50717	[title29][sentence]\nHmmm.  A flight sim, an adventure game,\na 'pretend-you're-in-a-movie' game, a\n'gee-I-wish-I-really-knew-how-to-use-a-sword'\ngame, and various other escapist entertainment\npackages adorn the walls here.	
50718	[title26][sentence]\nThis shelf is covered with word processors,\nspreadsheets, databases, communications\npackages, and other boring items.	
50719	[title27][sentence]\nThese appear to be anti-shoplifting\nsensors.  Walking through them with\nan unpaid-for software package would\nprobably be unwise.	
50720	[title22][sentence]\nThe registers look like normal retail\npoint-of-sale cash registers.	
50721	[title27][sentence]\nSomething is written here, but you\ncan't read the handwriting.  It looks\nlikes cuneiform.	
50722	[title32][sentence]\nThis is obviously a computer software\nstore.  They seem to specialize in\npersonal productivity software and\ngames.  Productivity.  Hmph.  What a\nwaste of computer hardware.	
50723	[title27][sentence]\nThe cash register doesn't have a 'no sale' key, so\nyou decide not to embarrass yourself\nby spending hours trying to figure out\nhow to get the drawer open.	
