QUOTES.TXR.23	\t     -- @Matt Gruson	
QUOTES.TXR.25	"I think he should wet himself."	
QUOTES.TXR.26	\t     -- @Frank Frazier, scrounging	
QUOTES.TXR.27	\t\t@for Rex animation ideas.	
QUOTES.TXR.29	"Do you know how embarrassing it is	
QUOTES.TXR.30	 to walk into a store and ask to be	
QUOTES.TXR.31	 shown an 'Elvis' costume?"	
QUOTES.TXR.32	\t     -- @Kenn Nishiuye, having	
QUOTES.TXR.33	\t\t@recently purchased	
QUOTES.TXR.34	\t\t@Colonel Stone's costume.	
QUOTES.TXR.36	"Hey, Brian, do you want me to excrete this?"	
QUOTES.TXR.37	\t     -- @Charlie Shenton	
QUOTES.TXR.39	/* Our dear Rex is blown in half. */	
QUOTES.TXR.40	\t     -- @Ginny Schmidt (in daemon	
QUOTES.TXR.41	\t\t@code comments).	
QUOTES.TXR.43	"That scream sounds too much like	
QUOTES.TXR.44	 someone is poking him with a cattle prod."	
QUOTES.TXR.45	\t     -- @Jeff Briggs, listening	
QUOTES.TXR.46	\t\t@to our little collection	
QUOTES.TXR.47	\t\t@of bloodcurdling screams.	
QUOTES.TXR.49	"As far as I'm concerned, 'delta'	
QUOTES.TXR.50	 is a four letter word."	
QUOTES.TXR.51	\t     -- @Kenn Nishiuye, admiring	
QUOTES.TXR.52	\t\t@certain features of the	
QUOTES.TXR.53	\t\t@sprite system.	
QUOTES.TXR.55	"You start with a big splat mark,	
QUOTES.TXR.56	 and make a 'schlock-line' down	
QUOTES.TXR.57	 to the actual chunk."	
QUOTES.TXR.58	\t     -- @Matt Gruson, explaining	
QUOTES.TXR.59	\t\t@the mechanics of a key	
QUOTES.TXR.60	\t\t@animation.	
QUOTES.TXR.62	"Splunge."	
QUOTES.TXR.63	\t     -- @Nick Rusko-Berger, when	
QUOTES.TXR.64	\t\t@asked for his professional	
QUOTES.TXR.65	\t\t@opinion of a background.	
QUOTES.TXR.67	"I don't want to get eaten while	
QUOTES.TXR.68	 I'm testing this!"	
QUOTES.TXR.69	\t     -- @Ginny Schmidt	
QUOTES.TXR.72	"But I REALLY think he should wet himself."	
QUOTES.TXR.73	\t     -- @Frank Frazier	
QUOTES.TXR.75	"You can't print this sh--!"	
QUOTES.TXR.76	\t     -- @Charlie Shenton to	
QUOTES.TXR.77	\t\t@Gerry Blair, V.P., upon	
QUOTES.TXR.78	\t\t@reading proposed ad	
QUOTES.TXR.79	\t\t@copy for Rex.	
QUOTES.TXR.81	"No, the Roland sound is definitely working.	
QUOTES.TXR.82	 I distinctly heard a dog getting squashed	
QUOTES.TXR.83	 under a car."	
QUOTES.TXR.84	\t     -- @Brian Reynolds, in one	
QUOTES.TXR.85	\t\t@of the final bug meetings.	
QUOTES.TXR.87	"But why are you being so NICE to us?"	
QUOTES.TXR.88	\t     -- @Michael Craighead and	
QUOTES.TXR.89	\t\t@Mike Corcoran, after their	
QUOTES.TXR.90	\t\t@first meeting with Matt	
QUOTES.TXR.91	\t\t@and Brian.	
QUOTES.TXR.93	"Heh heh heh."	
QUOTES.TXR.94	\t     -- @Matt and Brian (after	
QUOTES.TXR.95	\t\t@their first meeting with	
QUOTES.TXR.96	\t\t@Michael Craighead and	
QUOTES.TXR.97	\t\t@Mike Corcoran).	
QUOTES.TXR.99	"So, do you think we can sell a game called	
QUOTES.TXR.100	 'Rex Nebular and the Cosmic Gender Bender'?"	
QUOTES.TXR.101	\t     -- @Bill Stealey, CEO	
QUOTES.TXR.103	"Can I be in the quotes?"	
QUOTES.TXR.104	\t     -- @Bill Burton	
QUOTES.TXR.106	"Whatever you do, don't put me	
QUOTES.TXR.107	 in the quotes."	
QUOTES.TXR.108	\t     -- @Ted Markley	
QUOTES.TXR.110	"I know someone who beat up the	
QUOTES.TXR.111	 Redskin Hog-ettes!"	
QUOTES.TXR.112	\t     -- @Ken Race	
QUOTES.TXR.114	"Why can't I push the damn gurney?	
QUOTES.TXR.115	How do you get across the damn stream?	
QUOTES.TXR.116	Why can't I go to the damn pleasure dome?"	
QUOTES.TXR.117	\t     -- @Al Roireau, exploring	
QUOTES.TXR.118	\t\t@the limits of the	
QUOTES.TXR.119	\t\t@possible.	
QUOTES.TXR.121	"Can we say 'damn' in the quotes?"	
QUOTES.TXR.122	\t     -- Matt Gruson	
QUOTES.TXR.125	"It's a high level programming thing	
QUOTES.TXR.126	 that we don't want to explain to you	
QUOTES.TXR.127	 right now."	
QUOTES.TXR.128	\t     -- @Kenn Nishiuye to	
QUOTES.TXR.129	\t\t@Brian Reynolds (Lead	
QUOTES.TXR.130	\t\t@Programmer).	
QUOTES.TXR.132	"Not!"	
QUOTES.TXR.133	\t     -- @Charlie Shenton	
QUOTES.TXR.135	"I really mean it.  DON'T PUT	
QUOTES.TXR.136	 ME IN THE QUOTES!"	
QUOTES.TXR.137	\t     -- @Ted Markley	
QUOTES.TXR.139	"When Rex sees her coming, right before she	
QUOTES.TXR.140	 squashes him, don't you think he would be	
QUOTES.TXR.141	 really scared, and . . . wet himself?"	
QUOTES.TXR.142	\t     -- @Frank Frazier	
QUOTES.TXR.144	"This is the color 'cyan' . . . do you guys	
QUOTES.TXR.145	 know what cyan is?"	
QUOTES.TXR.146	\t     -- @Paul Lahaise, addressing	
QUOTES.TXR.147	\t\t@the Rex Art Team.	
QUOTES.TXR.149	"Next week, can we learn 'Magenta'?"	
QUOTES.TXR.150	\t     -- @Cindy Lang-Bachur	
QUOTES.TXR.152	"FOOL!"	
QUOTES.TXR.153	\t     -- @Brian Reynolds, every	
QUOTES.TXR.154	\t\t@five minutes or so.	
QUOTES.TXR.156	"Has either Brian or Matt had therapy?"	
QUOTES.TXR.157	\t     -- @Frank Brown, rhetorical	
QUOTES.TXR.158	\t\t@question.	
QUOTES.TXR.160	"I think this is a bug."	
QUOTES.TXR.161	\t     -- @Ginny Schmidt, as her	
QUOTES.TXR.162	\t\t@screen went black.	
QUOTES.TXR.164	"I feel sorry for the poor schmucks	
QUOTES.TXR.165	 who don't have a mouse."	
QUOTES.TXR.166	\t     -- Dave Ellis	
QUOTES.TXR.168	"I want one."	
QUOTES.TXR.169	\t     -- @Nick Rusko-Berger,	
QUOTES.TXR.170	\t\t@plaintive cry.	
QUOTES.TXR.172	"We're not 'splatting-the-fuzzy,' we're	
QUOTES.TXR.173	 just dropping a car on a dog."	
QUOTES.TXR.174	\t     -- @Anonymous producer	
QUOTES.TXR.177	"The camera doesn't lie."	
QUOTES.TXR.178	\t     -- @Frank Frazier, on	
QUOTES.TXR.179	\t\t@rotoscoped art.	
QUOTES.TXR.181	dialog = dialog_create_just_f---ing_do_it( );	
QUOTES.TXR.182	\t     -- @Slightly edited line of	
QUOTES.TXR.183	\t\t@MADS library code.	
QUOTES.TXR.185	"I have an ace in my hole."	
QUOTES.TXR.186	\t     -- @Kenn Nishiuye	
QUOTES.TXR.188	"I want a bat skeleton!"	
QUOTES.TXR.189	\t     -- @Anne-Marie Cox,	
QUOTES.TXR.190	\t\t@revealing her heart's	
QUOTES.TXR.191	\t\t@desire.	
