300	scenic mountains	
301	sea cliff	
302	seaweed	
303	seaweed bank	
304	security card	
305	set	
306	shake hands	
307	sharpen	
308	shield access panel	
309	shield generator	
310	shield modulator	
311	shield status panel	
312	ship	
313	shoot	
314	shovel	
315	shred	
316	shrunken heads	
317	singed meat	
318	sit in	
319	skull	
320	skull and crossbones	
321	sky	
322	sleep on	
323	slithering snake	
324	slug secretion	
325	small hole	
326	smell	
327	snake	
328	sniff	
329	soak	
330	special key 1	
331	special key 2	
332	spider	
333	spilt milk	
334	spit fire	
335	spray	
336	stab	
337	stairs	
338	stalagmites	
339	stand inside	
340	stare at	
341	steps	
342	stuffed fish	
343	surface	
344	swim across	
345	swim into	
346	swim through	
347	swim to	
348	swim towards	
349	swim under	
350	swooping creature	
351	table	
352	take liver	
353	take off	
354	take page	
355	tall grass	
356	tape player	
357	target computer	
358	target module	
359	targetting computer	
360	tasmanian devil	
361	tasty turkey	
362	teleport device	
363	teleporter	
364	thatched roof	
365	thorns	
366	thorny bush	
367	tie	
368	timebomb	
369	timer	
370	timer module	
371	tree	
372	trees	
373	trodden path	
374	tube	
375	tunnel	
376	twinkie bush	
377	twinkifruit	
378	unlock	
379	uzi	
380	vase	
381	video game	
382	view	
383	view screen	
384	viewport	
385	village area	
386	village to west	
387	volcano	
388	vulture	
389	wad of cattle parts	
390	walk across	
391	walk inside	
392	walk on	
393	walk outside	
394	walk through	
395	walk towards	
396	wall	
397	watch tower	
398	water	
399	weapons display	
400	wear	
401	weather station	
402	weather vane	
403	weight machine	
404	western cliff face	
405	wheel	
406	window	
407	witchdoctor hut	
408	workbench	
409	write on	
410	yellow birdy	
411	grass	
412	bouncing reptile	
413	deep pit	
414	lowlands to north	
415	small bush	
416	small cactus	
417	rocky area to north	
418	bamboo-like plant	
419	mountainside	
420	field	
421	grassy field	
422	crag	
423	huge legs	
424	leaf-covered pit	
425	pile of leaves	
426	open field to east	
427	lawn	
428	walk down	
429	path to west	
430	hedge	
431	village path	
432	path to northeast	
433	jungle path	
434	thick undergrowth	
435	ocean	
436	ocean in distance	
437	strange device	
438	bush	
439	anemometer	
440	island in distance	
441	path	
442	trophy	
443	specimen jars	
444	bowl	
445	large bowl	
446	path to north	
447	hut to north	
448	path to east	
449	chicken on spit	
450	captive creature	
451	twinkifruit bush	
452	stream	
453	opposite shore	
454	path to south	
455	opposite bank	
456	broken ladder	
457	bag of twinkifruits	
458	bed	
459	display	
460	leave	
461	exit from	
462	device	
463	0 key	
464	1 key	
465	2 key	
466	3 key	
467	4 key	
468	5 key	
469	6 key	
470	7 key	
471	8 key	
472	9 key	
473	frown key	
474	smile key	
475	native woman	
476	yellow bird	
477	bleeper	
478	sizemometer	
479	panel	
480	printer	
481	hard drive	
482	bathroom	
483	desk	
484	passageway	
485	fire hydrant	
486	freezer	
487	equidigitizer	
488	vision-view	
489	teledetector	
490	pole	
491	transposition device	
492	statuesque	
493	temperature gauge	
494	check	
495	watch	
496	electro-scanner	
497	hall	
498	scanner	
499	place hand on	
500	security monitor	
501	digitorama	
502	rail beam	
503	vault	
504	hallway	
505	pipes	
506	air vent grate	
507	security office	
508	signal	
509	bleep	
510	blip	
511	loft	
512	electronic ant farm	
513	electric wiring	
514	security panel	
515	corridor	
516	circuit controls	
517	air duct	
518	cell wall	
519	lights	
520	stare into	
521	cell controls	
522	commode	
523	use	
524	basin	
525	jump inside	
526	previous cell	
527	next room	
528	zink	
529	gaze into	
530	throne	
531	sack	
532	limb	
533	sink	
534	johnny-on-the-spot	
535	debris	
536	bunk	
537	next cell	
538	toilet	
539	monitor area	
540	sidewall	
541	coffee mug	
542	sit at	
543	lighting fixture	
544	monitors	
545	gender controls	
546	neuro-analyzer	
547	molecular recorder	
548	maintenance panel	
549	ramp	
550	walk up	
551	subsonic atomizer	
552	eight ball	
553	dna inverter	
554	dna converter	
555	platform	
556	guinea pig test box	
557	gaseous probe warper	
558	tool cabinet	
559	surgical boxes	
560	fetal heart monitor	
561	xray cabinet	
562	sterilization sink	
563	dripolator	
564	shock machine	
565	interrogation table	
566	lie down on	
567	decipher	
568	guard	
569	rip in floor	
570	teleport area	
571	broken beam	
572	rock chunk	
573	bloody cell wall	
574	wall board	
575	gender scanner	
576	bar	
577	walk into	
578	hallway to south	
579	sign	
580	hallway to north	
581	bottles	
582	upper dance floor	
583	dance floor	
584	railing	
585	bar stool	
586	lady	
587	upper level	
588	alcove	
589	disco ball	
590	ladies	
591	coach lamp	
592	card slot	
593	hoop	
594	cannonballs	
595	water fountain	
596	hallway to east	
597	hallway to west	
598	support	
599	backboard	
