CREDITS.TXR.5	Produced and Designed by	
CREDITS.TXR.6	MATT GRUSON	
CREDITS.TXR.8	Executive Producer	
CREDITS.TXR.9	TED MARKLEY	
CREDITS.TXR.11	Lead Programmer & Technical Director	
CREDITS.TXR.12	BRIAN REYNOLDS	
CREDITS.TXR.14	Art Director	
CREDITS.TXR.15	KENN NISHIUYE	
CREDITS.TXR.17	Music By	
CREDITS.TXR.18	JEFFERY L. BRIGGS	
CREDITS.TXR.23	THE DESIGN TEAM	
CREDITS.TXR.25	Game Design @ MATT GRUSON	
CREDITS.TXR.26	\t    @ JEFF CHARLEBOIS	
CREDITS.TXR.27	\t    @ TED MARKLEY	
CREDITS.TXR.29	Rex's Log Text @ STEVE MERETZKY	
CREDITS.TXR.31	Manual Text @ DOUG KAUFMAN	
CREDITS.TXR.33	Game Text @ JEFF CHARLEBOIS	
CREDITS.TXR.34	\t  @ MATT GRUSON	
CREDITS.TXR.35	\t  @ BRIAN REYNOLDS	
CREDITS.TXR.40	THE ART TEAM	
CREDITS.TXR.42	Art Director @ KENN NISHIUYE	
CREDITS.TXR.44	Painting @ MIKE GIBSON (Lead)	
CREDITS.TXR.45	\t @ NICHOLAS RUSKO-BERGER	
CREDITS.TXR.46	\t @ KENN NISHIUYE	
CREDITS.TXR.48	Animation @ FRANK FRAZIER (Lead)	
CREDITS.TXR.49	\t  @ CHARLES SHENTON	
CREDITS.TXR.50	\t  @ KEN RACE	
CREDITS.TXR.51	\t  @ CINDY LANG-BACHUR	
CREDITS.TXR.52	\t  @ KEVIN BOEHM	
CREDITS.TXR.53	\t  @ ANNE-MARIE COX	
CREDITS.TXR.54	\t  @ JACKIE ROSS	
CREDITS.TXR.55	\t  @ PATRICK DOWNEY	
CREDITS.TXR.56	\t  @ KENN (again)	
CREDITS.TXR.58	3-D Animation @ MATT GRUSON	
CREDITS.TXR.59	\t      @ ANDY LAKEN	
CREDITS.TXR.61	3-D Models @ FRANK VIVIRITO	
CREDITS.TXR.62	\t   @ ANDY LAKEN	
CREDITS.TXR.63	\t   @ GINNY SCHMIDT	
CREDITS.TXR.64	\t   @ MAX REMINGTON	
CREDITS.TXR.66	Lead Rotoscope Engineer	
CREDITS.TXR.67	CHARLES SHENTON	
CREDITS.TXR.69	Rotoscoping and Image Processing Tools	
CREDITS.TXR.70	MATT GRUSON	
CREDITS.TXR.72	Rotoscope Modeling @ DREW WILLIAMS	
CREDITS.TXR.73	\t\t   @ BONNIE SHEEKS	
CREDITS.TXR.74	\t\t   @ CLAIRE BAGBY	
CREDITS.TXR.75	\t\t   @ CINDY LANG-BACHUR	
CREDITS.TXR.76	\t\t   @ GINNY SCHMIDT	
CREDITS.TXR.77	\t\t   @ FRANK FRAZIER	
CREDITS.TXR.78	\t\t   @ SARAH FRAZIER	
CREDITS.TXR.79	\t\t   @ NICHOLAS RUSKO-BERGER	
CREDITS.TXR.80	\t\t   @ IRIS IDOKOGI	
CREDITS.TXR.81	\t\t   @ ANNE-MARIE COX	
CREDITS.TXR.82	\t\t   @ MIKE GIBSON	
CREDITS.TXR.84	Assistant to Mr. Nebular	
CREDITS.TXR.85	MURRAY TAYLOR	
CREDITS.TXR.87	Assistant to Ms. Nebular	
CREDITS.TXR.88	VICKI FORD	
CREDITS.TXR.90	Mr. Nebular's Stunt Double	
CREDITS.TXR.91	KEN RACE	
CREDITS.TXR.93	Colonel Stone's Stunt Double	
CREDITS.TXR.94	JOE HELLESEN	
CREDITS.TXR.96	Interface Animation Scripts	
CREDITS.TXR.97	MIKE GIBSON	
CREDITS.TXR.98	NICHOLAS RUSKO-BERGER	
CREDITS.TXR.103	THE DEVELOPMENT TEAM	
CREDITS.TXR.105	Lead Programmer & Technical Director	
CREDITS.TXR.106	BRIAN REYNOLDS	
CREDITS.TXR.108	Applications Programming @ GINNY SCHMIDT	
CREDITS.TXR.109	\t\t\t @ PAUL LAHAISE	
CREDITS.TXR.111	MADS System Design @ MATT GRUSON	
CREDITS.TXR.112	\t\t   @ BRIAN REYNOLDS	
CREDITS.TXR.114	MADS System Engineering	
CREDITS.TXR.115	BRIAN REYNOLDS	
CREDITS.TXR.117	MicroProse Installation Utility	
CREDITS.TXR.118	BRIAN REYNOLDS	
CREDITS.TXR.120	Alchemist @ DAVID McKIBBIN	
CREDITS.TXR.122	Programming Tidbits @ DETMAR PETERKE	
