70123	[title16][sentence]\nThe boat is 'docked' at the maintenance\nplatform.	[title16][sentence]\n那艘小船「停靠」在維修平台。
70124	[title29][sentence]\nThe fishing line has become hopelessly\ntangled.  It looks like you aren't going to\nbe doing any fishing with this thing.	[title29][sentence]\n釣魚線已經死死纏在一起，\n看樣子這東西沒辦法拿來釣魚了。
70125	[title22][sentence]\nYou don't need to pull on the fishing\nline.  The boat is already here.	[title22][sentence]\n你不需要拉釣魚線，\n船已經在這裡了。
70126	[title19][sentence]\nYou reel in the fishing line and\nstuff it in your pocket.	[title19][sentence]\n你把釣魚線收回來，\n塞進口袋裡。
70127	[title29][sentence]\nAs much as you would like to simply reach out and\njust grab the boat, your arms simply aren't long enough.\nLooking down, you see something large moving\nin the water below and decide that trying to\nswim to it could be a fatal mistake.	[title29][sentence]\n你很想乾脆伸手抓住那艘船，\n可惜手臂沒那麼長。\n往下一看，水裡有個龐然大物在游動——\n游過去，大概會變成要命的蠢主意。
70128	[title33][sentence]\nYour little maneuver with the time bomb\nhas moistened the city a tad.  Only a single\nbuilding protrudes above the water\nin the distance.  The boat you lowered is now\nfloating within reach of the platform.	[title33][sentence]\n你那手定時炸彈的小把戲，\n把整座城市「稍微弄濕」了一下。\n遠方只剩一棟建築物還探出水面。\n你放下去的那艘船，\n現在已經飄到平台伸手可及的距離了。
10501	[title25][sentence]\nThe [noun1] is uninteresting.	[title25][sentence]\n[noun1]沒什麼特別的。
10502	[title27][sentence]\nIt's a cliff.  It's in the sea.  O.K.?	[title27][sentence]\n這是懸崖，它就在海裡，行了吧？
10503	[title27][sentence]\nIt's pretty.	[title27][sentence]\n滿漂亮的。
10504	[title26][sentence]\nYou can't help but wonder what kind of sick\nsociety would pollute its own oceans.  You are also\nsurprised to see such a thing this far from\nNew Jersey.	[title26][sentence]\n你不禁納悶，什麼樣的病態社會\n會污染自己的海洋。\n而且這裡離紐澤西這麼遠，\n居然還看得到這種東西，\n真讓你意外。
10505	[title11][sentence]\nYech!  Better not.	[title11][sentence]\n噁！還是不要好了。
10506	[title25][sentence]\nIt appears to be a naval proximity mine.  You'd\nbetter not get too close.	[title25][sentence]\n看起來是一顆海軍近發水雷，\n你最好別靠太近。
10507	[title25][sentence]\nA fool and his torso are soon parted.	[title25][sentence]\n傻瓜和他的軀幹，很快就要分家了。
10508	[title24][sentence]\nIt reminds you of your last blind date.	[title24][sentence]\n讓你想起上次的相親對象。
10509	[title20][sentence]\nThe wicked witch hasn't melted--she's\nstill up there.	[title20][sentence]\n那個壞女巫沒有融化——\n她還在上面。
10510	[title25][sentence]\nThere is a large open area to the south--probably\nworth exploring.	[title25][sentence]\n南邊有一大片開闊地，\n或許值得去看看。
10511	[title14][sentence]\nThey are uninteresting.	[title14][sentence]\n沒什麼特別的。
10512	[title26][sentence]\nYou are still underwater.  To your west you see\na strange plant.  There is a large open area to the south.\n	[title26][sentence]\n你還在水裡。\n西邊你看到一株奇怪的植物，\n南邊則有一大片開闊地。\n
10901	[title10][sentence]\nIt's mostly sand.	[title10][sentence]\n大部分都是沙子。
10902	[title21][sentence]\nYou have no interest in the coral. 	[title21][sentence]\n你對珊瑚沒什麼興趣。
10903	[title27][sentence]\nYou really don't need it unless you're planning \non making some cheap jewelry.	[title27][sentence]\n你其實用不到它，\n除非你打算拿去做點廉價珠寶。
10904	[title25][sentence]\nYour heart pounds profusely over your\nfascination with . . . rocks?	[title25][sentence]\n你的心臟撲通撲通狂跳，\n只因為……石頭？
10905	[title25][sentence]\nYou do not need any rocks.	[title25][sentence]\n你不需要任何石頭。
10906	[title16][sentence]\nIt's not very interesting.	[title16][sentence]\n沒什麼意思。
10907	[title29][sentence]\nNow that just might be a way out of here.\nOf course there is the little matter of that\nweird hungry purple thing.	[title29][sentence]\n這說不定是離開這裡的路。\n當然，還有那隻怪異\n又飢餓的紫色東西這個小麻煩。
10908	[title30][sentence]\nThat funny purple thing came out of one of\nthese holes.	[title30][sentence]\n那個奇怪的紫色東西，\n就是從這些洞裡的其中一個爬出來的。
10910	[title25][sentence]\nYou probably don't want to get\ntoo close to that thing.	[title25][sentence]\n你大概不會想\n太靠近那東西。
10911	[title25][sentence]\nNot much has changed since you last visited\nthe area.	[title25][sentence]\n自從你上次來過這裡，\n情況沒什麼變化。
10912	[title29][sentence]\nYou are at the southeastern edge of the lagoon.\nThere is a cave here that could be a safe\nexit from the water.	[title29][sentence]\n你在潟湖的東南邊緣。\n這裡有個洞穴，\n或許能安全離開水面。
10913	[title26][sentence]\nNow that just might be a way out of here.\nThere is a dead creature lying next to it.\n	[title26][sentence]\n這說不定是離開這裡的路。\n旁邊躺著一隻死掉的生物。\n
10914	[title24][sentence]\nHe looks dead.  That burger must have been\nextremely toxic to make him ooze like that.	[title24][sentence]\n他看起來死透了。\n那個漢堡一定毒到不行，\n才能把他弄得這樣直冒膿。
10915	[title32][sentence]\nHe doesn't seem to interested in the burger.  Then\nagain, would you eat it?	[title32][sentence]\n他看起來對那個漢堡沒什麼興趣。\n話說回來，換作是你，你會吃嗎？
30710	[title27][sentence]\nThe air vent is just large enough for you to crawl through,\nbut it's being held closed by a small latch.	[title27][sentence]\n這個通風口剛好大到能讓你爬過去，\n但被一個小門閂卡住了。
30711	[title16][sentence]\nThat little scalpel did the trick.  The latch has\nbeen jimmied and the air vent is unlocked.	[title16][sentence]\n那把小手術刀派上用場了。\n門閂被撬開，通風口已經解鎖。
30712	[title19][sentence]\nIt's a good thing you aren't too tired, because\nthe 'bed' looks extremely uncomfortable.	[title19][sentence]\n還好你不是很累，\n因為這張「床」看起來超級不舒服。
30713	[title33][sentence]\nEgad!  Look at all that stringy hair\nclumped together in the drain.  It's \njust like your sink, except that there\nisn't anything crawling around in it.	[title33][sentence]\n天哪！看看排水孔裡那一坨\n糾結成團的頭髮。就跟你家的\n水槽一樣，只不過裡面沒有\n什麼東西在爬來爬去。
30714	[title26][sentence]\nNoticing that the seat is down you\nquickly conclude that the last prisoner\nmust have been female.  You are\nmomentarily stunned by your own\nbrilliance.	[title26][sentence]\n你注意到馬桶蓋是放下來的，\n立刻推斷上一個囚犯\n一定是女性。你被自己的\n聰明才智震懾了一下下。
