ENDING4.TXR.87	\t  @ KEN RACE	\t  @ KEN RACE
ENDING4.TXR.88	\t  @ CINDY LANG-BACHUR	\t  @ CINDY LANG-BACHUR
ENDING4.TXR.89	\t  @ KEVIN BOEHM	\t  @ KEVIN BOEHM
ENDING4.TXR.90	\t  @ ANNE-MARIE COX	\t  @ ANNE-MARIE COX
ENDING4.TXR.91	\t  @ JACKIE ROSS	\t  @ JACKIE ROSS
ENDING4.TXR.92	\t  @ PATRICK DOWNEY	\t  @ PATRICK DOWNEY
ENDING4.TXR.93	\t  @ KENN (again)	\t  @ KENN（又是他）
ENDING4.TXR.95	3-D Animation @ MATT GRUSON	3-D 動畫 @ MATT GRUSON
ENDING4.TXR.96	\t      @ ANDY LAKEN	\t      @ ANDY LAKEN
ENDING4.TXR.98	3-D Models @ FRANK VIVIRITO	3-D 模型 @ FRANK VIVIRITO
ENDING4.TXR.99	\t   @ ANDY LAKEN	\t   @ ANDY LAKEN
ENDING4.TXR.100	\t   @ GINNY SCHMIDT	\t   @ GINNY SCHMIDT
ENDING4.TXR.101	\t   @ MAX REMINGTON	\t   @ MAX REMINGTON
ENDING4.TXR.103	Lead Rotoscope Engineer	首席轉描工程師
ENDING4.TXR.104	CHARLES SHENTON	CHARLES SHENTON
ENDING4.TXR.106	Rotoscoping and Image Processing Tools	轉描與影像處理工具
ENDING4.TXR.107	MATT GRUSON	MATT GRUSON
ENDING4.TXR.109	Rotoscope Modeling @ DREW WILLIAMS	轉描建模 @ DREW WILLIAMS
ENDING4.TXR.110	\t\t   @ BONNIE SHEEKS	\t\t   @ BONNIE SHEEKS
ENDING4.TXR.111	\t\t   @ CLAIRE BAGBY	\t\t   @ CLAIRE BAGBY
ENDING4.TXR.112	\t\t   @ CINDY LANG-BACHUR	\t\t   @ CINDY LANG-BACHUR
ENDING4.TXR.113	\t\t   @ GINNY SCHMIDT	\t\t   @ GINNY SCHMIDT
ENDING4.TXR.114	\t\t   @ FRANK FRAZIER	\t\t   @ FRANK FRAZIER
ENDING4.TXR.115	\t\t   @ SARAH FRAZIER	\t\t   @ SARAH FRAZIER
ENDING4.TXR.116	\t\t   @ NICHOLAS RUSKO-BERGER	\t\t   @ NICHOLAS RUSKO-BERGER
ENDING4.TXR.117	\t\t   @ IRIS IDOKOGI	\t\t   @ IRIS IDOKOGI
ENDING4.TXR.118	\t\t   @ ANNE-MARIE COX	\t\t   @ ANNE-MARIE COX
ENDING4.TXR.119	\t\t   @ MIKE GIBSON	\t\t   @ MIKE GIBSON
ENDING4.TXR.121	Assistant to Mr. Nebular	尼布勒先生的助理
ENDING4.TXR.122	MURRAY TAYLOR	MURRAY TAYLOR
ENDING4.TXR.124	Assistant to Ms. Nebular	尼布勒小姐的助理
ENDING4.TXR.125	VICKI FORD	VICKI FORD
ENDING4.TXR.127	Mr. Nebular's Stunt Double	尼布勒先生的特技替身
ENDING4.TXR.128	KEN RACE	KEN RACE
ENDING4.TXR.130	Colonel Stone's Stunt Double	史東上校的特技替身
ENDING4.TXR.131	JOE HELLESEN	JOE HELLESEN
ENDING4.TXR.133	Interface Animation Scripts	介面動畫腳本
ENDING4.TXR.134	MIKE GIBSON	MIKE GIBSON
ENDING4.TXR.135	NICHOLAS RUSKO-BERGER	NICHOLAS RUSKO-BERGER
ENDING4.TXR.140	THE DEVELOPMENT TEAM	開發團隊
ENDING4.TXR.142	Lead Programmer & Technical Director	首席程式設計與技術總監
ENDING4.TXR.143	BRIAN REYNOLDS	BRIAN REYNOLDS
ENDING4.TXR.145	Applications Programming @ GINNY SCHMIDT	應用程式設計 @ GINNY SCHMIDT
ENDING4.TXR.146	\t\t\t @ PAUL LAHAISE	\t\t\t @ PAUL LAHAISE
ENDING4.TXR.148	MADS System Design @ MATT GRUSON	MADS 系統設計 @ MATT GRUSON
ENDING4.TXR.149	\t\t   @ BRIAN REYNOLDS	\t\t   @ BRIAN REYNOLDS
ENDING4.TXR.151	MADS System Engineering	MADS 系統工程
ENDING4.TXR.152	BRIAN REYNOLDS	BRIAN REYNOLDS
ENDING4.TXR.154	MicroProse Installation Utility	MicroProse 安裝工具
ENDING4.TXR.155	BRIAN REYNOLDS	BRIAN REYNOLDS
ENDING4.TXR.157	Alchemist @ DAVID McKIBBIN	煉金術士 @ DAVID McKIBBIN
ENDING4.TXR.159	Programming Tidbits @ DETMAR PETERKE	程式瑣務 @ DETMAR PETERKE
ENDING4.TXR.160	\t\t    @ SCOTT PATTERSON	\t\t    @ SCOTT PATTERSON
ENDING4.TXR.162	Hardware Maintenance @ MIKE GOMEZ	硬體維護 @ MIKE GOMEZ
ENDING4.TXR.163	\t\t     @ SAL VITALE	\t\t     @ SAL VITALE
ENDING4.TXR.167	THE SOUND TEAM	音效團隊
ENDING4.TXR.169	Sound Department Management	音效部門管理
ENDING4.TXR.170	KEN LAGACE	KEN LAGACE
ENDING4.TXR.172	Music Composed By	音樂作曲
ENDING4.TXR.173	JEFFERY L. BRIGGS	JEFFERY L. BRIGGS
ENDING4.TXR.175	Sound Programming @ KEN LAGACE	音效程式設計 @ KEN LAGACE
ENDING4.TXR.176	\t\t  @ JIM McCONKEY	\t\t  @ JIM McCONKEY
ENDING4.TXR.177	\t\t  @ ROLAND RIZZO	\t\t  @ ROLAND RIZZO
ENDING4.TXR.178	\t\t  @ SCOTT PATTERSON	\t\t  @ SCOTT PATTERSON
ENDING4.TXR.180	Foley Editor @ JIM McCONKEY	擬音剪輯 @ JIM McCONKEY
ENDING4.TXR.182	Voice Track Editor @ SCOTT PATTERSON	配音剪輯 @ SCOTT PATTERSON
ENDING4.TXR.184	Voice Acting @ GREG KEMPER	配音演出 @ GREG KEMPER
ENDING4.TXR.185	\t     @ PAUL ELLIS	\t     @ PAUL ELLIS
ENDING4.TXR.186	\t     @ SHANNON HEPBURN	\t     @ SHANNON HEPBURN
ENDING4.TXR.188	Blood Curdling Screams @ BRIAN and MATT	驚聲尖叫 @ BRIAN and MATT
ENDING4.TXR.193	THE QUALITY ASSURANCE TEAM	品質保證團隊
ENDING4.TXR.195	Q.A. Management @ AL ROIREAU	品保管理 @ AL ROIREAU
ENDING4.TXR.196	\t\t@ MICHAEL CRAIGHEAD	\t\t@ MICHAEL CRAIGHEAD
ENDING4.TXR.198	Lead Tester @ FRANK BROWN	首席測試員 @ FRANK BROWN
ENDING4.TXR.200	Playtesting @ BILL BURTON	遊戲測試 @ BILL BURTON
ENDING4.TXR.201	\t    @ ANDY MAZUREK	\t    @ ANDY MAZUREK
ENDING4.TXR.202	\t    @ DAVE ELLIS	\t    @ DAVE ELLIS
ENDING4.TXR.203	\t    @ MIKE CORCORAN	\t    @ MIKE CORCORAN
ENDING4.TXR.204	\t    @ MIKE REA	\t    @ MIKE REA
ENDING4.TXR.205	\t    @ MICHAEL CRAIGHEAD	\t    @ MICHAEL CRAIGHEAD
ENDING4.TXR.206	\t    @ AL ROIREAU	\t    @ AL ROIREAU
ENDING4.TXR.207	\t    @ DAVE OSBORN	\t    @ DAVE OSBORN
ENDING4.TXR.208	\t    @ HARRY TEASLEY	\t    @ HARRY TEASLEY
ENDING4.TXR.209	\t    @ TED MARKLEY	\t    @ TED MARKLEY
ENDING4.TXR.210	\t    @ VAUGHN THOMAS	\t    @ VAUGHN THOMAS
ENDING4.TXR.211	\t    @ SALLY STALCUP	\t    @ SALLY STALCUP
ENDING4.TXR.212	\t    @ MICHELE ROIREAU	\t    @ MICHELE ROIREAU
ENDING4.TXR.213	\t    @ DIETZEL BROWN	\t    @ DIETZEL BROWN
ENDING4.TXR.218	THE MARKETING TEAM	行銷團隊
ENDING4.TXR.220	Rex Nebular Project Manager	《錯體奇航》專案經理
ENDING4.TXR.221	MONIQUE CARON	MONIQUE CARON
