426	[title32][sentence]\nIf you want to put the "DURAFAIL" cells into the\nphone handset, you will first have to disassemble\nit and remove the current set of batteries.	[title32][sentence]\n如果想把「勁掛」電池裝進\n電話聽筒，得先拆開聽筒，\n取出裡面原本的電池。
427	[title32][sentence]\nBefore you set the time bomb, decide what you\nwant to blow up.  You will then need to find a\nstable place to set it so that you can run away\nbefore it goes off.  You don't want to be anywhere\nnear this thing when it blows up.	[title32][sentence]\n設定定時炸彈之前，先想\n清楚要炸什麼，接著要找個\n穩固的地方放好，好讓你在\n它爆炸前跑得掉。引爆的時\n候，你可不會想待在附近。
430	[title32][sentence]\nIn a fit of frustration, you jam a bomb\ninto the chicken.  You are now the proud\nowner of a chicken bomb, and you can't\nwait to light this baby off somewhere and\nwatch the drumsticks fly!	[title32][sentence]\n氣頭上，你把炸彈塞進雞\n肚子裡。現在你多了一顆\n雞肉炸彈，迫不及待想找\n個地方點燃它，看雞腿滿\n天飛！
431	[title32][sentence]\nFor some reason, the car refuses to accept\nthis particular destination.  Possibly the\npower to the MLV rail has been interrupted\nat that location.	[title32][sentence]\n不知為何，這輛車不肯\n接受這個目的地，可能\n是那邊的磁浮車軌道電\n力被切斷了。
432	[title32][sentence]\nYou pour out all of the water in the bottle.\nIt is now empty.	[title32][sentence]\n你把瓶子裡的水全倒光\n了，現在瓶子空了。
433	[title32][sentence]\nYou do not need to put darts in the\nblowgun; simply select a target and\nshoot.	[title32][sentence]\n不需要把飛鏢裝進吹箭\n筒，直接選好目標發射\n就行了。
434	[title32][sentence]\nDon't do that!  You might need the\n[noun1] to get past some door\nor through some important checkpoint!	[title32][sentence]\n別這樣做！你可能會需\n要[noun1]來通過某扇\n門，或闖過某個重要關\n卡！
435	[title32][sentence]\nDon't disassemble the [noun1]!  You\nmight need [noun1:it:them]!\n	[title32][sentence]\n別拆掉[noun1]！你可能\n會用到它[noun1:it:them]！\n
440	[title32][sentence]\nYou can't smell the [noun1] because\nyour nose is currently full of water.	[title32][sentence]\n你聞不到[noun1]的味\n道，因為你的鼻子現在\n灌滿了水。
441	[title32][sentence]\nWhile in the water, your mouth\nis busy using the rebreather.  You\ndon't want to risk drowning just to\ntry to eat the [noun1].	[title32][sentence]\n在水裡的時候，你的嘴巴\n正忙著用水中呼吸器，可\n不想為了吃[noun1]冒溺\n水的風險。
442	[title32][sentence]\nYou take a good strong whiff of the\nburger and almost pass out.  This\nthing is probably flammable by now.	[title32][sentence]\n你用力聞了聞漢堡，差\n點沒昏過去。這東西現\n在大概已經可以拿來當\n燃料了。
443	[title32][sentence]\nYou open your mouth, give the burger\na squeeze, get it at just the write angle,\nstart your approach . . . . WAIT! One of\nthe worms in the burger just gave you\nthe saddest look.  You just don't have\nthe heart to gobble him up.	[title32][sentence]\n你張開嘴，捏了捏漢堡，\n調整好角度，正準備下口\n……等等！漢堡裡的一條\n蟲用超委屈的眼神看著你，\n你實在狠不下心把牠吞下去。
444	[title32][sentence]\nWow!  He's getting ripe!	[title32][sentence]\n哇！他越來越「熟」了！
445	[title32][sentence]\nYou think for a moment, then\ndecide that alien sushi is something\nyou would prefer to watch some\none else try first.	[title32][sentence]\n你想了一下，還是決定\n外星壽司這種東西，先\n讓別人試吃比較好。
446	[title32][sentence]\nGrow a brain.  You are already\nwearing the rebreather.	[title32][sentence]\n腦子放清醒點，你已經\n戴著水中呼吸器了。
447	[title32][sentence]\nNot just yet.  You shouldn't use the\nrebreather until you're underwater.	[title32][sentence]\n還不急。水中呼吸器要\n等你下水之後才用得到。
448	[title32][sentence]\nThe timer module is not attached to anything,\nso there is no reason to set it.	[title32][sentence]\n計時模組現在沒接在任\n何東西上，設定它也沒\n有意義。
449	[title32][sentence]\nYou nibble the edge off of one of the\nbig leaves.  When your tongue goes\ninstantly numb you decide that you\nshould probably not be eating\nstrange plants.	[title32][sentence]\n你咬了一口大葉子的邊緣。\n舌頭瞬間麻掉之後，你決\n定還是別亂吃奇怪的植物\n比較好。
450	[title32][sentence]\nSorry, Rex.  These are head 'shrinking'\ndarts, not head 'unswelling' darts.	[title32][sentence]\n抱歉啦，雷克斯。這些\n是「縮頭」飛鏢，不是\n「消腫」飛鏢。
451	[title32][sentence]\nWith an extremely serious look on your face,\nyou carefully hold the twinkifruit in\nboth hands.  You then begin to nibble\non it slowly and deliberately, until\nit is all gone.  You find this a most\nenjoyable experience.	[title32][sentence]\n你板著一張超嚴肅的臉，\n雙手小心翼翼捧著甜滋果，\n慢條斯理地一口一口啃，\n直到整顆吃光。你覺得這\n真是一次享受。
452	[title32][sentence]\nYou roll up your sleeves, pack the\ntwinkifruit into a ball, and with a\ngreat roar stuff it into your face, where\nyou chew on it once or twice and\nswallow it with a bug gulp.  Your\nfollow up to this grotesque performance\nis an earth-shattering belch.	[title32][sentence]\n你捲起袖子，把甜滋果\n搓成一球，大吼一聲整\n個塞進嘴裡，嚼個一兩\n下就直接吞下去。這場\n噁心表演的壓軸，是一\n聲驚天動地的飽嗝。
453	[title32][sentence]\nAfter gnawing on a bone for a few\nminutes you are overwhelmed by\nthe urge to use your foot to scratch\nfor fleas.	[title32][sentence]\n啃了幾分鐘骨頭之後，\n你突然很想用腳去抓跳\n蚤。
454	[title32][sentence]\nYou gently rub the audio tape for\na few minutes.  You both enjoy\nthe experience enormously.	[title32][sentence]\n你輕輕摩挲錄音帶好幾\n分鐘，你們倆都樂在其\n中。
455	[title32][sentence]\nBetter not.  You may need this later.\nBesides, it's probably the only credit\nyou'll see for the rest of your life.	[title32][sentence]\n還是別這樣。你之後可\n能用得到，而且這大概\n是你這輩子僅有的一筆\n錢了。
