ENDING2.TXR.140	Assistant to Ms. Nebular	尼布勒小姐的助理
ENDING2.TXR.141	VICKI FORD	VICKI FORD
ENDING2.TXR.143	Mr. Nebular's Stunt Double	尼布勒先生的特技替身
ENDING2.TXR.144	KEN RACE	KEN RACE
ENDING2.TXR.146	Colonel Stone's Stunt Double	史東上校的特技替身
ENDING2.TXR.147	JOE HELLESEN	JOE HELLESEN
ENDING2.TXR.149	Interface Animation Scripts	介面動畫腳本
ENDING2.TXR.150	MIKE GIBSON	MIKE GIBSON
ENDING2.TXR.151	NICHOLAS RUSKO-BERGER	NICHOLAS RUSKO-BERGER
ENDING2.TXR.156	THE DEVELOPMENT TEAM	開發團隊
ENDING2.TXR.158	Lead Programmer & Technical Director	首席程式設計與技術總監
ENDING2.TXR.159	BRIAN REYNOLDS	BRIAN REYNOLDS
ENDING2.TXR.161	Applications Programming @ GINNY SCHMIDT	應用程式設計 @ GINNY SCHMIDT
ENDING2.TXR.162	\t\t\t @ PAUL LAHAISE	\t\t\t @ PAUL LAHAISE
ENDING2.TXR.164	MADS System Design @ MATT GRUSON	MADS 系統設計 @ MATT GRUSON
ENDING2.TXR.165	\t\t   @ BRIAN REYNOLDS	\t\t   @ BRIAN REYNOLDS
ENDING2.TXR.167	MADS System Engineering	MADS 系統工程
ENDING2.TXR.168	BRIAN REYNOLDS	BRIAN REYNOLDS
ENDING2.TXR.170	MicroProse Installation Utility	MicroProse 安裝工具
ENDING2.TXR.171	BRIAN REYNOLDS	BRIAN REYNOLDS
ENDING2.TXR.173	Alchemist @ DAVID McKIBBIN	煉金術士 @ DAVID McKIBBIN
ENDING2.TXR.175	Programming Tidbits @ DETMAR PETERKE	程式瑣務 @ DETMAR PETERKE
ENDING2.TXR.176	\t\t    @ SCOTT PATTERSON	\t\t    @ SCOTT PATTERSON
ENDING2.TXR.178	Hardware Maintenance @ MIKE GOMEZ	硬體維護 @ MIKE GOMEZ
ENDING2.TXR.179	\t\t     @ SAL VITALE	\t\t     @ SAL VITALE
ENDING2.TXR.183	THE SOUND TEAM	音效團隊
ENDING2.TXR.185	Sound Department Management	音效部門管理
ENDING2.TXR.186	KEN LAGACE	KEN LAGACE
ENDING2.TXR.188	Music Composed By	音樂作曲
ENDING2.TXR.189	JEFFERY L. BRIGGS	JEFFERY L. BRIGGS
ENDING2.TXR.191	Sound Programming @ KEN LAGACE	音效程式設計 @ KEN LAGACE
ENDING2.TXR.192	\t\t  @ JIM McCONKEY	\t\t  @ JIM McCONKEY
ENDING2.TXR.193	\t\t  @ ROLAND RIZZO	\t\t  @ ROLAND RIZZO
ENDING2.TXR.194	\t\t  @ SCOTT PATTERSON	\t\t  @ SCOTT PATTERSON
ENDING2.TXR.196	Foley Editor @ JIM McCONKEY	擬音剪輯 @ JIM McCONKEY
ENDING2.TXR.198	Voice Track Editor @ SCOTT PATTERSON	配音剪輯 @ SCOTT PATTERSON
ENDING2.TXR.200	Voice Acting @ GREG KEMPER	配音演出 @ GREG KEMPER
ENDING2.TXR.201	\t     @ PAUL ELLIS	\t     @ PAUL ELLIS
ENDING2.TXR.202	\t     @ SHANNON HEPBURN	\t     @ SHANNON HEPBURN
ENDING2.TXR.204	Blood Curdling Screams @ BRIAN and MATT	驚聲尖叫 @ BRIAN and MATT
ENDING2.TXR.209	THE QUALITY ASSURANCE TEAM	品質保證團隊
ENDING2.TXR.211	Q.A. Management @ AL ROIREAU	品保管理 @ AL ROIREAU
ENDING2.TXR.212	\t\t@ MICHAEL CRAIGHEAD	\t\t@ MICHAEL CRAIGHEAD
ENDING2.TXR.214	Lead Tester @ FRANK BROWN	首席測試員 @ FRANK BROWN
ENDING2.TXR.216	Playtesting @ BILL BURTON	遊戲測試 @ BILL BURTON
ENDING2.TXR.217	\t    @ ANDY MAZUREK	\t    @ ANDY MAZUREK
ENDING2.TXR.218	\t    @ DAVE ELLIS	\t    @ DAVE ELLIS
ENDING2.TXR.219	\t    @ MIKE CORCORAN	\t    @ MIKE CORCORAN
ENDING2.TXR.220	\t    @ MIKE REA	\t    @ MIKE REA
ENDING2.TXR.221	\t    @ MICHAEL CRAIGHEAD	\t    @ MICHAEL CRAIGHEAD
ENDING2.TXR.222	\t    @ AL ROIREAU	\t    @ AL ROIREAU
ENDING2.TXR.223	\t    @ DAVE OSBORN	\t    @ DAVE OSBORN
ENDING2.TXR.224	\t    @ HARRY TEASLEY	\t    @ HARRY TEASLEY
ENDING2.TXR.225	\t    @ TED MARKLEY	\t    @ TED MARKLEY
ENDING2.TXR.226	\t    @ VAUGHN THOMAS	\t    @ VAUGHN THOMAS
ENDING2.TXR.227	\t    @ SALLY STALCUP	\t    @ SALLY STALCUP
ENDING2.TXR.228	\t    @ MICHELE ROIREAU	\t    @ MICHELE ROIREAU
ENDING2.TXR.229	\t    @ DIETZEL BROWN	\t    @ DIETZEL BROWN
ENDING2.TXR.234	THE MARKETING TEAM	行銷團隊
ENDING2.TXR.236	Rex Nebular Project Manager	《錯體奇航》專案經理
ENDING2.TXR.237	MONIQUE CARON	MONIQUE CARON
ENDING2.TXR.239	Marketing Emperor	行銷皇帝
ENDING2.TXR.240	GERRY BLAIR	GERRY BLAIR
ENDING2.TXR.242	Marketing Director	行銷總監
ENDING2.TXR.243	DEBBIE CHEEK	DEBBIE CHEEK
ENDING2.TXR.245	Marketing Services Director	行銷服務總監
ENDING2.TXR.246	MARY HERRON	MARY HERRON
ENDING2.TXR.248	Marketing Services Coordinator	行銷服務協調員
ENDING2.TXR.249	BRENDA BLOOMFIELD	BRENDA BLOOMFIELD
ENDING2.TXR.251	Art Director @ JOHN EMORY	美術指導 @ JOHN EMORY
ENDING2.TXR.253	Package Cover Art @ ERIC OLSON	包裝封面美術 @ ERIC OLSON
ENDING2.TXR.255	Package Design @ JOHN EMORY	包裝設計 @ JOHN EMORY
ENDING2.TXR.256	\t       @ MOSHE MILICH	\t       @ MOSHE MILICH
ENDING2.TXR.258	Advertising Placement @ LINDSAY RIEHL	廣告刊登 @ LINDSAY RIEHL
ENDING2.TXR.260	Direct Mail Projects @ LINDSAY RIEHL	直效郵件企劃 @ LINDSAY RIEHL
ENDING2.TXR.261	\t\t     @ ED KELLY	\t\t     @ ED KELLY
ENDING2.TXR.263	Package and Advertising Copy	包裝與廣告文案
ENDING2.TXR.264	KEN HOHMAN	KEN HOHMAN
ENDING2.TXR.266	Advertising Design @ FINLEY WEATHERFORD	廣告設計 @ FINLEY WEATHERFORD
ENDING2.TXR.268	Newsletter Coverage @ GARY ALMES	媒體報導 @ GARY ALMES
ENDING2.TXR.270	800 Sales @ KAREN REITER	800 專線銷售 @ KAREN REITER
ENDING2.TXR.271	\t  @ TERI HAYWARD	\t  @ TERI HAYWARD
ENDING2.TXR.273	Rex's Log and Manual Design	雷克斯船長日誌與說明手冊設計
ENDING2.TXR.274	IRIS IDOKOGI	IRIS IDOKOGI
ENDING2.TXR.275	JOE MOREL	JOE MOREL
ENDING2.TXR.277	Rex's Log Illustrations @ MARK GLIDDEN	雷克斯船長日誌插圖 @ MARK GLIDDEN
ENDING2.TXR.279	Public Relations @ KATHY GILMORE	公共關係 @ KATHY GILMORE
ENDING2.TXR.284	No animals were hurt, maimed, squashed, mutilated,	製作本遊戲期間，沒有任何動物
ENDING2.TXR.285	run through garbage disposers, shredded, used to	受傷、致殘、被壓扁、被凌虐、
ENDING2.TXR.286	test trash compactors, or otherwise damaged during	被丟進垃圾絞碎機、被拿去
ENDING2.TXR.287	production of this game.  Honest.	測試壓縮機，或以其他方式弄傷。真的。
ENDING2.TXR.289	(CC) Closed Captioned for the sound card impaired.	（CC）為音效卡故障的玩家提供字幕。
ENDING4.TXR.7	EPILOGUE	尾聲
ENDING4.TXR.8	"The Decompression Ending"	「洩壓收場」
ENDING4.TXR.10	You pull on the throttle and zoom	你一把扳下節流閥，
ENDING4.TXR.11	out into space, flush with your	帶著剛打贏的得意衝進太空，
ENDING4.TXR.12	recent victory.  Unfortunately, you	沒想到你
ENDING4.TXR.13	fail to notice a large crack in	沒注意到擋風罩上
ENDING4.TXR.14	the windshield.	有一道大裂痕。
ENDING4.TXR.16	As the ship enters the hard vacuum	就在太空船衝進
ENDING4.TXR.17	of outer space, a bad accident	外太空的真空環境時，
ENDING4.TXR.18	happens.	一場意外發生了。
ENDING4.TXR.21	THE END.	劇終。
ENDING4.TXR.27	Oops.	糟了。
ENDING4.TXR.42	[color1=0,45,45]Produced and Designed by	[color1=0,45,45]製作與設計
ENDING4.TXR.43	MATT GRUSON	MATT GRUSON
ENDING4.TXR.45	Executive Producer	執行製作人
ENDING4.TXR.46	TED MARKLEY	TED MARKLEY
ENDING4.TXR.48	Lead Programmer & Technical Director	首席程式設計與技術總監
ENDING4.TXR.49	BRIAN REYNOLDS	BRIAN REYNOLDS
ENDING4.TXR.51	Art Director	美術指導
ENDING4.TXR.52	KENN NISHIUYE	KENN NISHIUYE
ENDING4.TXR.54	Music By	音樂
ENDING4.TXR.55	JEFFERY L. BRIGGS	JEFFERY L. BRIGGS
ENDING4.TXR.60	THE DESIGN TEAM	設計團隊
ENDING4.TXR.62	Game Design @ MATT GRUSON	遊戲設計 @ MATT GRUSON
ENDING4.TXR.63	\t    @ JEFF CHARLEBOIS	\t    @ JEFF CHARLEBOIS
ENDING4.TXR.64	\t    @ TED MARKLEY	\t    @ TED MARKLEY
ENDING4.TXR.66	Rex's Log Text @ STEVE MERETZKY	雷克斯船長日誌文字 @ STEVE MERETZKY
ENDING4.TXR.68	Manual Text @ DOUG KAUFMAN	說明手冊文字 @ DOUG KAUFMAN
ENDING4.TXR.70	Game Text @ JEFF CHARLEBOIS	遊戲文字 @ JEFF CHARLEBOIS
ENDING4.TXR.71	\t  @ MATT GRUSON	\t  @ MATT GRUSON
ENDING4.TXR.72	\t  @ BRIAN REYNOLDS	\t  @ BRIAN REYNOLDS
ENDING4.TXR.77	THE ART TEAM	美術團隊
ENDING4.TXR.79	Art Director @ KENN NISHIUYE	美術指導 @ KENN NISHIUYE
ENDING4.TXR.81	Painting @ MIKE GIBSON (Lead)	繪圖 @ MIKE GIBSON（首席）
ENDING4.TXR.82	\t @ NICHOLAS RUSKO-BERGER	\t @ NICHOLAS RUSKO-BERGER
ENDING4.TXR.83	\t @ KENN NISHIUYE	\t @ KENN NISHIUYE
ENDING4.TXR.85	Animation @ FRANK FRAZIER (Lead)	動畫 @ FRANK FRAZIER（首席）
ENDING4.TXR.86	\t  @ CHARLES SHENTON	\t  @ CHARLES SHENTON
